Species	Symbol	Gene_ID
Arabidopsis_thaliana	AtEIL3	AT1G73730
Arabidopsis_thaliana	BEE3	AT1G73830
Arabidopsis_thaliana	BEE3	AT1G73830
Arabidopsis_thaliana	AtRKD2	AT1G74480
Arabidopsis_thaliana	ATBS1	AT1G74500
Arabidopsis_thaliana	MIF1	AT1G74660
Arabidopsis_thaliana	BZR1	AT1G75080
Arabidopsis_thaliana	BZR1	AT1G75080
Arabidopsis_thaliana	AtHB33	AT1G75240
Arabidopsis_thaliana	AtbZIP44	AT1G75390
Arabidopsis_thaliana	AtbZIP44	AT1G75390
Arabidopsis_thaliana	SRS5	AT1G75520
Arabidopsis_thaliana	CPD25	AT1G76320
Arabidopsis_thaliana	CPD25	AT1G76320
Arabidopsis_thaliana	NLP5	AT1G76350
Arabidopsis_thaliana	ANAC031	AT1G76420
Arabidopsis_thaliana	DF1	AT1G76880
Arabidopsis_thaliana	AT-GT2	AT1G76890
Arabidopsis_thaliana	anac032	AT1G77450
Arabidopsis_thaliana	AtREN1	AT1G77570
Arabidopsis_thaliana	TGA7	AT1G77920
Arabidopsis_thaliana	ATSHB	AT1G78540
Arabidopsis_thaliana	ATSHB	AT1G78540
Arabidopsis_thaliana	BEH4	AT1G78700
Arabidopsis_thaliana	ANAC033	AT1G79580
Arabidopsis_thaliana	ANAC033	AT1G79580
Arabidopsis_thaliana	ANAC033	AT1G79580
Arabidopsis_thaliana	FRS8	AT1G80010
Arabidopsis_thaliana	ATWRKY66	AT1G80590
Arabidopsis_thaliana	ATWRKY40	AT1G80840
Arabidopsis_thaliana	RGA	AT2G01570
Arabidopsis_thaliana	ATBPC1	AT2G01930
Arabidopsis_thaliana	ATBPC1	AT2G01930
Arabidopsis_thaliana	ANAC034	AT2G02450
Arabidopsis_thaliana	ANAC034	AT2G02450
Arabidopsis_thaliana	ATHB21	AT2G02540
Arabidopsis_thaliana	ATWHY3	AT2G02740
Arabidopsis_thaliana	ATWHY3	AT2G02740
Arabidopsis_thaliana	WRKY3	AT2G03340
Arabidopsis_thaliana	AtbZIP48	AT2G04038
Arabidopsis_thaliana	ATWRKY1	AT2G04880
Arabidopsis_thaliana	ATWRKY1	AT2G04880
Arabidopsis_thaliana	SCL21	AT2G04890
Arabidopsis_thaliana	bZIP33	AT2G12900
Arabidopsis_thaliana	UNE4	AT2G12940
Arabidopsis_thaliana	bZIP31	AT2G13150
Arabidopsis_thaliana	NF-YB7	AT2G13570
Arabidopsis_thaliana	AtbZIP23	AT2G16770
Arabidopsis_thaliana	AMS	AT2G16910
Arabidopsis_thaliana	anac036	AT2G17040
Arabidopsis_thaliana	NLP1	AT2G17150
Arabidopsis_thaliana	ATBZIP27	AT2G17770
Arabidopsis_thaliana	ATBZIP27	AT2G17770
Arabidopsis_thaliana	ANAC037	AT2G18060
Arabidopsis_thaliana	SRS4	AT2G18120
Arabidopsis_thaliana	ATBZIP2	AT2G18160
Arabidopsis_thaliana	HBI1	AT2G18300
Arabidopsis_thaliana	HBI1	AT2G18300
Arabidopsis_thaliana	HBI1	AT2G18300
Arabidopsis_thaliana	AtHB24	AT2G18350
Arabidopsis_thaliana	GATA20	AT2G18380
Arabidopsis_thaliana	LBD8	AT2G19510
Arabidopsis_thaliana	LBD9	AT2G19820
Arabidopsis_thaliana	TCX6	AT2G20110
Arabidopsis_thaliana	TCX6	AT2G20110
Arabidopsis_thaliana	PIF1	AT2G20180
Arabidopsis_thaliana	PIF1	AT2G20180
Arabidopsis_thaliana	PIF1	AT2G20180
Arabidopsis_thaliana	bZIP30	AT2G21230
Arabidopsis_thaliana	bZIP30	AT2G21230
Arabidopsis_thaliana	bZIP30	AT2G21230
Arabidopsis_thaliana	ATBPC4	AT2G21240
Arabidopsis_thaliana	ATBPC4	AT2G21240
Arabidopsis_thaliana	SRS3	AT2G21400
Arabidopsis_thaliana	ATWRKY59	AT2G21900
Arabidopsis_thaliana	CAMTA3	AT2G22300
Arabidopsis_thaliana	CAMTA3	AT2G22300
Arabidopsis_thaliana	NAI1	AT2G22770
Arabidopsis_thaliana	AtbZIP6	AT2G22850
Arabidopsis_thaliana	AtbZIP6	AT2G22850
Arabidopsis_thaliana	AtWRKY15	AT2G23320
Arabidopsis_thaliana	AtWRKY15	AT2G23320
Arabidopsis_thaliana	LBD10	AT2G23660
Arabidopsis_thaliana	LBD10	AT2G23660
Arabidopsis_thaliana	DROP1	AT2G24260
Arabidopsis_thaliana	ANAC038	AT2G24430
Arabidopsis_thaliana	ANAC038	AT2G24430
Arabidopsis_thaliana	ATWRKY17	AT2G24570
Arabidopsis_thaliana	ATWRKY60	AT2G25000
Arabidopsis_thaliana	GPL1	AT2G25650
Arabidopsis_thaliana	ATHSFA2	AT2G26150
Arabidopsis_thaliana	YAB5	AT2G26580
